Freq_GHz,eps_prime_bestfit,eps_prime_unc,eps_double_prime_bestfit,eps_double_prime_unc,eps_prime_reflection,eps_prime_reflection_unc,eps_double_prime_reflection
0.1,18.89,0.10,5.54,0.06,18.99,0.16,5.60
0.2,14.95,0.07,8.24,0.07,15.01,0.13,8.32
0.3,11.54,0.05,8.66,0.06,11.56,0.10,8.73
0.4,9.18,0.04,8.15,0.04,9.20,0.08,8.18
0.5,7.63,0.04,7.39,0.04,7.65,0.07,7.42
0.6,6.60,0.03,6.65,0.03,6.63,0.06,6.67
0.7,5.90,0.03,5.99,0.03,5.92,0.05,5.99
0.8,5.41,0.03,5.43,0.02,5.42,0.05,5.41
0.9,5.05,0.03,4.95,0.02,5.06,0.05,4.94
1.0,4.78,0.02,4.55,0.02,4.78,0.04,4.52
1.2,4.42,0.02,3.91,0.02,,,
1.5,4.10,0.02,3.23,0.01,,,
1.8,3.92,0.02,2.76,0.01,,,
2.0,3.83,0.02,2.52,0.01,,,
2.5,3.69,0.02,2.10,0.01,,,
3.0,3.59,0.02,1.81,0.01,,,
