Freq_GHz,eps_prime_25C,eps_double_prime_25C,eps_prime_20C,eps_double_prime_20C,source
0.1,78.4,0.3,80.2,0.3,Debye model (Kaatze 1989 / Liebe 1991)
0.2,78.4,0.5,80.1,0.6,Debye model (Kaatze 1989 / Liebe 1991)
0.3,78.3,0.8,80.1,0.9,Debye model (Kaatze 1989 / Liebe 1991)
0.4,78.3,1.0,80.0,1.2,Debye model (Kaatze 1989 / Liebe 1991)
0.5,78.3,1.3,80.0,1.5,Debye model (Kaatze 1989 / Liebe 1991)
0.6,78.2,1.6,79.9,1.8,Debye model (Kaatze 1989 / Liebe 1991)
0.7,78.2,1.8,79.9,2.1,Debye model (Kaatze 1989 / Liebe 1991)
0.8,78.1,2.1,79.8,2.4,Debye model (Kaatze 1989 / Liebe 1991)
0.9,78.1,2.3,79.7,2.7,Debye model (Kaatze 1989 / Liebe 1991)
1.0,78.1,2.6,79.6,2.9,Debye model (Kaatze 1989 / Liebe 1991)
1.2,77.9,3.1,79.4,3.5,Debye model (Kaatze 1989 / Liebe 1991)
1.5,77.8,3.9,79.1,4.4,Debye model (Kaatze 1989 / Liebe 1991)
1.8,77.6,4.6,78.8,5.2,Debye model (Kaatze 1989 / Liebe 1991)
2.0,77.4,5.1,78.6,5.8,Debye model (Kaatze 1989 / Liebe 1991)
2.5,76.9,6.4,78.0,7.2,Debye model (Kaatze 1989 / Liebe 1991)
3.0,76.3,7.5,77.3,8.5,Debye model (Kaatze 1989 / Liebe 1991)
